id,city,time,content,reply_content,handler,status,url
97885,Da Nang,11:22 23/04/2026,"Đề nghị chính quyền địa phương xử lý việc ngập nước khi trời mưa quá to tại khu vực cuối hẻm 725 đường Phan Châu Trinh, phường Hương Trà (hình ảnh đính kèm). Nguyên cuối xóm chúng tôi hồi nào đến giờ không có con mương, nước chảy tự nhiên qua vườn của ông Năm Mua. Đợt mưa năm nay nước không thoát kịp nên tràn vào nhà người dân vì lý do bên kia vườn làm nhà ngăn chặn dòng nước chảy. Kính mong cơ quan chức năng có hướng giải quyết khắc phục tình trạng ngập nước tại đây. Xin cám ơn./.","Về nội dung này, UBND phường Hương Trà thông tin như sau: Hẻm 725 đường Phan Châu Trinh, phường Hương Trà đã được đầu tư mương thoát nước đoạn đầu tuyến, còn một đoạn cuối tuyến chưa được đầu tư. UBND phường đang thực hiện huy động từ nhiều nguồn lực từng bước nâng cấp, sửa chữa kiệt, hẻm và khớp nối hệ thống thoát nước; tiếp thu ý kiến phản ánh của người dân, UBND phường Hương Trà sẽ báo cáo HĐND phường đưa vào kế hoạch đầu tư công trung hạn để giải quyết việc khớp nối thoát nước. Vậy, UBND phường kính phản hồi thông tin đến công dân được biết. Trân trọng cảm ơn ý kiến đóng góp của công dân!",UBND phường Hương Trà Về,Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=97885
97863,Da Nang,07:45 23/04/2026,"Từ trước Tết đến nay, tại khu truyền tải điện, tổ dân phố 01, thôn Thạnh Mỹ 2, xã Thạnh Mỹ, có 2 bóng đèn không sáng. Ở khu này chưa có tên đường, vị trí ở tại ngã 4 gần thuốc tây Hiền đi vào 1 đoạn có 1 nhà có dàn hoa giấy, trước nhà này có 2 bóng đèn bị hỏng. Đề nghị cơ quan chức năng kiểm tra, xử lý.","Theo nội dung góp ý của công dân, UBND xã Thạnh Mỹ chỉ đạo Trung tâm Cung ứng dịch vụ sự nghiệp công xã phối hợp với các đơn vị liên quan khẩn trương xây dựng phương án và tiến hành sửa chữa, thay thế các bóng đèn hư hỏng tại 04 vị trí nêu trên. Đồng thời, thực hiện rà soát tổng thể hệ thống đèn chiếu sáng công cộng trên địa bàn xã, kịp thời sửa chữa, thay thế các bóng đèn bị hư hỏng để đảm bảo vận hành ổn định, phục vụ nhu cầu đi lại của người dân và đảm bảo an ninh trật tự khu vực. Thời gian hoàn thành: Dự kiến việc thay thế và sửa chữa sẽ hoàn tất trong tháng 5 năm 2026. Vậy, UBND xã kính phản hồi thông tin đến công dân được biết. Trân trọng cảm ơn ý kiến đóng góp của công dân!",UBND xã Thạnh Mỹ,Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=97863
97828,Da Nang,17:28 22/04/2026,"Kính đề nghị cơ quan chức năng xem xét, xử lý: Tại khu vực ngã tư Ỷ Lan Nguyên Phi giao Nguyễn Hữu Dật, phường Hòa Cường, Đà Nẵng, nắp hố ga bị vỡ, vỉa hè sụt lún, gây nguy hiểm cho người tham gia giao thông. Hình ảnh đính kèm. Kính mong cơ quan chức năng sớm kiểm tra và khắc phục. Xin trân trọng cảm ơn!","Theo nội dung góp ý của công dân, UBND phường Hòa Cường đã giao Phòng Kinh tế, Hạ tầng và Đô thị phường kiểm tra, xử lý. Nay, UBND phường phản hồi như sau: Phòng Kinh tế, Hạ tầng và Đô thị phường đã kiểm tra và thống kê đưa vị trí hư hỏng này vào danh mục hồ sơ duy tu sửa chữa hạ tầng bị hư hỏng trên địa bàn phường năm 2026 để lập, phê duyệt dự toán, bố trí kinh phí và sớm triển khai sửa chữa, khắc phục. Vậy, UBND phường kính phản hồi thông tin đến công dân được biết. Trân trọng cảm ơn ý kiến đóng góp của công dân!",UBND Phường Hòa Cường,Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=97828
97818,Da Nang,14:32 22/04/2026,"Hiện nay, mặt đường Tiên Sơn 19, phường Hòa Cường, có một số vị trí bị hư hỏng, xuất hiện ổ gà. Mặc dù người dân đã tự sửa chữa nhiều lần, nhưng hiện trạng mặt đường đã bong tróc nặng, gây khó khăn và nguy hiểm cho việc đi lại. Kính mong cơ quan chức năng kiểm tra và có biện pháp khắc phục, đảm bảo an toàn giao thông cho người dân. Xin trân trọng cảm ơn!","Theo nội dung góp ý của công dân, UBND phường Hòa Cường đã giao Kinh tế, Hạ tầng và Đô thị kiểm tra, xử lý. Nay, UBND phường phản hồi như sau: Phòng Kinh tế, Hạ tầng và Đô thị phường đã kiểm tra và thống kê đưa vị trí hư hỏng này vào danh mục hồ sơ duy tu sửa chữa hạ tầng bị hư hỏng trên địa bàn phường năm 2026 để lập, phê duyệt dự toán, bố trí kinh phí và sớm triển khai sửa chữa, khắc phục. Vậy, UBND phường kính phản hồi thông tin đến công dân được biết. Trân trọng cảm ơn ý kiến đóng góp của công dân!",UBND Phường Hòa Cường,Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=97818
97722,Da Nang,14:53 21/04/2026,"Vỉa hè địa chỉ 278 - 280 Xô Viết Nghệ Tĩnh, phường Cẩm Lệ bị hư hỏng, gạch vỉa hè bị lật lên. Mong cơ quan chức năng sớm kiểm tra và sửa chữa. Tôi xin chân thành cảm ơn!","Theo nội dung góp ý của công dân, Ban Quản lý dự án đầu tư xây dựng các công trình giao thông và nông nghiệp Đà Nẵng phản hồi như sau: Ban quản lý dự án đang triển khai lát gạch vỉa hè đoạn bị hư hỏng (ảnh đính kèm). Vậy, Ban Quản lý dự án đầu tư xây dựng các công trình giao thông và nông nghiệp Đà Nẵng kính phản hồi thông tin đến công dân được biết. Trân trọng cảm ơn ý kiến đóng góp của công dân!",Ban Quản lý dự án đầu tư xây dựng các công trình giao thông và nông nghiệp Đà Nẵng,Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=97722
97719,Da Nang,14:30 21/04/2026,"Nắp cống tại 781 Nguyễn Hữu Thọ, phường Cẩm Lệ bị hư hỏng nặng. Tôi đã liên hệ hơn một tháng nhưng chưa có xử lý. Kính báo cơ quan chức năng kiểm tra xử lý.","Sở Xây dựng trân trọng cảm ơn ý kiến góp ý của Quý công dân và phản hồi một số thông tin như sau: Công ty Thoát nước và Xử lý nước thải đã kiểm tra hiện trường và hoàn thành thay nắp cống mới, hình ảnh kèm theo. Sở Xây dựng thông tin để Quý công dân được biết. Trân trọng./.","Sở Xây dựng Sở Xây dựng trân trọng cảm ơn ý kiến góp ý của Quý công dân và phản hồi một số thông tin như sau: Công ty Thoát nước và Xử lý nước thải đã kiểm tra hiện trường và hoàn thành thay nắp cống mới, hình ảnh kèm",Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=97719
97718,Da Nang,14:20 21/04/2026,"Đèn đường chiếu sáng tại kiệt sau lưng Nhà Văn hóa cộng đồng dân cư số 13 - khu công viên X2 Hòa An (cũ), tại địa chỉ: đường Hòa An 25, Tổ 45HA, phường An Khê đã bị hư, hiện nay đang không sáng, làm ảnh hưởng đến sinh hoạt người dân và đường tối dễ gây nên trộm cắp. Nhờ các cấp xem xét, cho đơn vị phụ trách đến xử lý sớm cho bà con. Tôi xin cảm ơn./.","Sở Xây dựng trân trọng cảm ơn ý kiến góp ý của Quý công dân và phản hồi một số thông tin như sau: Công ty cổ phần chiếu sáng công cộng đã kiểm tra hiện trường và hoàn thành xử lý kiến nghị, đèn đã đỏ bình thường. Sở Xây dựng thông tin để Quý công dân được biết. Trân trọng./.","Sở Xây dựng Sở Xây dựng trân trọng cảm ơn ý kiến góp ý của Quý công dân và phản hồi một số thông tin như sau: Công ty cổ phần chiếu sáng công cộng đã kiểm tra hiện trường và hoàn thành xử lý kiến nghị, đèn đã đỏ bình thường. Sở Xây dựng thông tin để Quý công dân được biết. Trân trọng./. Ngày trả lời: 01/05/2026",Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=97718
97691,Da Nang,12:27 21/04/2026,"Từ ngày 15/4/2026, việc thu gom rác tại Chi nhánh MTĐT Thanh Khê, cụ thể là đường Ngô Nhân Tịnh không còn diễn ra hàng ngày như trước mà kéo dài 2–3 ngày/lần. Rác sinh hoạt vì thế tồn đọng trước nhà dân, dưới thời tiết nắng nóng gây mùi hôi nồng nặc, tiềm ẩn nguy cơ dịch bệnh và ô nhiễm môi trường. Người dân đã đóng phí vệ sinh đầy đủ nhưng phải sống chung với rác thải nhiều ngày, ảnh hưởng nghiêm trọng đến đời sống và mỹ quan đô thị. Đề nghị cơ quan chức năng sớm kiểm tra, chấn chỉnh và khôi phục lịch thu gom rác hàng ngày.","Sau khi tiếp nhận thông tin phản ánh, UBND phường An Khê đã đề nghị Chi nhánh Đội Môi trường Cẩm Lệ khẩn trương tổ chức thu gom rác thải tại vị trí nêu trên, không để xảy ra tình trạng tồn đọng rác kéo dài gây ảnh hưởng đến đời sống sinh hoạt của người dân và mỹ quan đô thị. Vậy, UBND phường An Khê kính phản hồi thông tin đến công dân được biết. Trân trọng!",UBND Phường An Khê,Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=97691
97684,Da Nang,11:04 21/04/2026,"Trước địa chỉ số 582 Nguyễn Hữu Thọ , phường Cẩm Lệ có tình trạng vỉa hè bị hư hỏng. Mong cơ quan chức năng kiểm tra, sửa chữa./.","Theo nội dung góp ý của công dân, Sở Xây dựng phản hồi như sau: Công ty Cổ phần Cầu đường đã tiếp nhận thông tin và triển khai xử lý khắc phục các vị trí vỉa hè hư hỏng nêu trên. Vậy, kính phản hồi thông tin đến công dân được biết. Trân trọng cảm ơn ý kiến đóng góp của công dân!",Sở Xây dựng,Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=97684
97680,Da Nang,09:50 21/04/2026,"Ngã ba Tăng Bạt Hổ - Nguyễn Trãi và lân cận. Khi công an và quy tắc ra quân xử lý thì họ nép vào, khi không có lực lượng họ tái chiếm, thách thức xem thường luật pháp. Mong chính quyền giải quyết triệt để tránh trường hợp xem thường luật pháp,và tình trạng đánh trống bỏ dùi.","Theo nội dung góp ý của công dân, UBND phường Hải Châu đã giao Trung tâm cung ứng dịch vụ công phường kiểm tra, xử lý. Nay, UBND phường phản hồi như sau: Sau khi tiếp nhận phản ánh của công dân, tổ công tác Trung tâm cung ứng dịch vụ công đã kiểm tra thực tế tại địa chỉ phản ánh. Qua kiểm tra xác minh tại địa chỉ 24 Nguyễn Trãi có chủ hộ bán nước giải khát là bà H.K.T, Tổ công tác đã lập biên bản làm việc, yêu cầu bà T chấm dứt ngay hành vi vi phạm; đồng thời di dời toàn bộ tang vật, trả lại hiện trạng vỉa hè ban đầu theo đúng quy định. Trường hợp tiếp tục vi phạm, Tổ công tác sẽ đề xuất cơ quan chức năng và người có thẩm quyền xử lý theo quy định của pháp luật. Vậy, UBND phường kính phản hồi thông tin đến công dân được biết. Trân trọng cảm ơn ý kiến đóng góp của công dân!",UBND Phường Hải Châu,Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=97680
97665,Da Nang,08:01 21/04/2026,"Hệ thống điện chiếu sáng trên tuyến đường Lê Quảng Chí, phường Hòa Xuân hiện có nhiều bóng không hoạt động trong thời gian dài, đặc biệt khu vực trước số nhà 151 Lê Quảng Chí. Không rõ nguyên nhân do chưa được đấu nối hay chưa hoàn tất bàn giao vận hành. Tình trạng này khiến khu vực ban đêm thiếu ánh sáng, tiềm ẩn nguy cơ mất an toàn. Kính đề nghị cơ quan chức năng kiểm tra, khắc phục và sớm đưa hệ thống điện chiếu sáng vào hoạt động ổn định, đảm bảo an toàn cho người dân. Xin cảm ơn.","Sở Xây dựng trân trọng cảm ơn ý kiến góp ý của Quý công dân và phản hồi một số thông tin như sau: Công ty cổ phần chiếu sáng công cộng đã kiểm tra hiện trường và hoàn thành xử lý kiến nghị, đèn đã đỏ bình thường. Sở Xây dựng thông tin để Quý công dân được biết. Trân trọng./.","Sở Xây dựng Sở Xây dựng trân trọng cảm ơn ý kiến góp ý của Quý công dân và phản hồi một số thông tin như sau: Công ty cổ phần chiếu sáng công cộng đã kiểm tra hiện trường và hoàn thành xử lý kiến nghị, đèn đã đỏ bình thường. Sở Xây dựng thông tin để Quý công dân được biết. Trân trọng./. Ngày trả lời: 01/05/2026",Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=97665
97658,Da Nang,07:56 21/04/2026,"Quán chay An Lạc Tâm tại 808 Tôn Đức Thắng, phường Hòa Khánh buôn bán thường xuyên để xe lấn chiếm vỉa hè và đường kiệt 808 Tôn Đức Thắng. Quán thường xuyên buôn bán từ 6h-22h hàng ngày. Đặc biệt vào ngày rằm, mồng 1 lấn chiếm hết hầu như không có lối đi, nhưng quán không hề có biện pháp sắp xếp để đảm bảo. Kính mong cơ quan chức năng kiểm tra và xử lý./.","Theo nội dung phản ánh của công dân, UBND phường Hòa Khánh đã giao Trung tâm Cung ứng dịch vụ sự nghiệp công phường kiểm tra xử lý. Nay, UBND phường phản hồi như sau: Trung tâm đã chỉ đạo tổ công tác xuống kiểm tra, xử lý và lập biên bản yêu cầu chủ hộ kinh doanh khắc phục và di dời các vật dụng đưa về đúng quy định, chủ hộ đã cam kết và khắc phục di dời các vật dụng vào trong (có hình ảnh kèm theo). Vậy, UBND phường kính phản hồi thông tin đến công dân được biết. Trân trọng cảm ơn ý kiến đóng góp của công dân!",UBND Phường Hòa Khánh,Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=97658
97653,Da Nang,07:55 21/04/2026,"Kiệt 246 Trần Nhân Tông, phường Điện Bàn (kiệt mỳ Nhị) cả tuần nay không có điện đường chiếu sáng, gây khó khăn cho người đi đường. Kiệt này trước đây đã có điện chiếu sáng nhưng do nhân dân đóng góp, tuy nhiên, bây giờ có 1 số hộ không đồng ý đóng tiền nữa vì họ nói những tuyến đường khác được nhà nước cấp điện chiếu sáng, tại sao họ phải nộp tiền để có điện đường chiếu sáng. Kính đề nghị cơ quan chức năng kiểm tra và có phương án bố trí điện đường chiếu sáng để đảm bảo an toàn của người dân./.","Theo nội dung góp ý của công dân, UBND phường Điện Bàn đã giao Trung tâm Cung ứng dịch vụ công kiểm tra, xử lý. Nay, UBND phường phản hồi như sau: Trung tâm Cung ứng dịch vụ công đã thực hiện kiểm tra, làm việc với đại diện Khối phố 1. Theo đó, đối chiếu với kiệt 246 Trần Nhân Tông, phường Điện Bàn hiện có mặt cắt lòng đường <5m, mật độ xe lưu thông thấp nên chưa đủ điều kiện ưu tiên đầu tư điện chiếu sáng từ nguồn ngân sách phường. Trên cơ sở đó Trung tâm Cung ứng dịch vụ sự nghiệp công phường Điện Bàn đề nghị tổ trưởng tổ dân phố khối phố 1 thông báo cho bà con nhân dân kiệt 246 Trần Nhân Tông được biết để cùng chia sẻ trong điều kiện ngân sách phường còn hạn chế. Vậy, UBND phường kính phản hồi thông tin đến công dân được biết. Trân trọng cảm ơn ý kiến đóng góp của công dân!",UBND phường Điện Bàn,Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=97653
